"STATION","NAME","DATE","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00436995","RUTLAND, VT US","2000-11-06",,"0.00","0.0","0.0","43","37","40",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-07",,"0.00","0.0","0.0","47","38","44",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-08",,"0.00","0.0","0.0","48","35","35",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-09",,"0.00","0.0","0.0","60","34","56",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-10",,"0.22","0.0","0.0","56","47","47",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-11",,"0.11","0.0","0.0","49","41","41",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-12",,"0.00","0.0","0.0","47","35","37",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-13",,"0.00","0.0","0.0","46","36","44",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-14",,"0.13","0.0","0.0","49","38","38",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-15",,"0.18","0.0","0.0","45","31","41",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-16",,"0.00","0.0","0.0","46","36","40",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-17",,"0.06","0.0","0.0","45","33","37",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-18",,"0.10","1.5","0.0","42","27","35",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-19",,"0.00","0.0","0.0","41","26","26",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-20",,"0.00","0.0","0.0","41","19","33",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-21",,"0.07","3.0","2.0","36","18","29",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-22",,"0.00","0.2","2.0","31","23","23",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-23",,"0.00","0.0","2.0","30","12","17",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-24",,"0.00","0.0","1.0","26","6","16",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-25",,"0.00","0.0","0.0","40","7","25",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-26",,"0.40","0.0","0.0","44","17","42",,,,,,
"USC00436995","RUTLAND, VT US","2000-11-27",,"0.14","0.0","0.0","43","37","42",,,,,,
